"","control_rep2","exp_rep1","control_rep1","exp_rep2","control_rep3","exp_rep3"
"ENSG00000078687.18",10.4874548122357,10.4757579362284,10.5428557124363,10.4563594212938,10.4841445264049,10.4530532238537
"ENSG00000141524.19",12.0056374707925,12.1400089925369,11.9924420786756,12.1262934733415,12.0072583571553,12.1926675323137
"ENSG00000167895.16",4.25219483482994,4.19750994525662,4.20526048441872,4.26453604536534,4.32903910653689,4.23137221964883
"ENSG00000108639.8",11.9829821943762,12.0668687016366,11.9031866711948,12.0373320463709,11.9474053759113,12.2172141044108
"ENSG00000167900.12",11.5146896147747,11.387221351513,11.4857038452681,11.432202409934,11.5778576504745,11.7400713130205
"ENSG00000183077.16",9.87179221517442,9.92635349473776,9.85976161328987,9.96616483165845,9.81300359858786,10.0135471285767
"ENSG00000089685.15",12.8057438560523,12.7699065395345,12.7707633254485,12.7852757732239,12.8572751300065,12.9965404550273
"ENSG00000267737.1",3.7105886261421,3.68610622237652,3.68828326155979,3.69594137849515,3.70051107872399,3.67094839633657
"ENSG00000184557.4",9.95282634549971,10.0009009185476,9.98459650094084,9.94299176256518,9.95736509573533,10.1022860750148
"ENSG00000266970.3",4.57888572237536,4.55859471184702,4.56215380511796,4.61185590231682,4.61466975023479,4.55550726215653
"ENSG00000087157.19",10.5540408455176,10.5284638069117,10.5640655551537,10.6193370735665,10.5904192568689,10.5876884252551
"ENSG00000187775.17",6.12317030354824,5.92089810896103,5.98793825779343,6.09267455826966,6.04797322703476,6.05769283842377
"ENSG00000108669.18",11.2505149282177,11.3174867547983,11.2630935786236,11.3608606484636,11.2326893333358,11.2308215963553
"ENSG00000055483.20",11.8341410898166,11.8268641273148,11.8314143683927,11.8698894533011,11.8371661055929,11.8761737242007
"ENSG00000035862.13",14.0646881780043,14.4008891049634,14.1669121881491,14.3125947436672,14.1234762030314,14.2229361057681
"ENSG00000108679.13",12.7279688056194,12.523699248406,12.821256095921,12.5474136659548,12.8270987922908,12.7311570791879
"ENSG00000171302.17",13.1213579074459,13.1644605748441,13.0038450891009,13.136199925042,13.0603302079907,13.1971689208381
"ENSG00000265096.3",3.07991312031167,3.085563351937,3.10921787525531,3.12814755957439,3.08024400018373,3.11944612710103
"ENSG00000173918.15",11.3360596903924,11.7158144764104,11.32791939766,11.6614020773921,11.3316461297784,11.4618923054806
"ENSG00000167280.17",9.84230813635098,9.82541611160171,9.88899864103135,9.89705525780501,9.87855127210888,9.89828266859665
"ENSG00000167281.20",5.93974438167497,5.79225858257386,6.01321411297548,5.76597397245634,5.96120185446139,5.95264907014073
"ENSG00000173894.11",13.3676410399419,13.2422142510915,13.3372981100919,13.2312912685365,13.3660334885051,13.4027912951974
"ENSG00000141570.11",9.94138174815785,9.92782207007748,9.88033684785231,9.94686690221231,9.930841203812,10.0778964683286
"ENSG00000262772.2",4.8933414800514,4.9049667279848,4.85594248766294,4.91701756973724,4.82311782862758,4.8233829227633
"ENSG00000141582.15",10.6555024590953,10.5568684895926,10.6094007840079,10.5861392384925,10.6234520818487,10.6965210054885
"ENSG00000167291.16",13.8255711662708,13.675440087064,13.8180510880873,13.6913123103581,13.811255954719,13.7876522138182
"ENSG00000141519.15",9.58878000828563,9.55247082029796,9.60226722451673,9.536790289116,9.57898456797629,9.58316664832863
"ENSG00000289689.1",4.61250459065784,4.53246924264257,4.59876411510186,4.60804026669801,4.60799150392678,4.59200219153003
"ENSG00000171298.14",13.2215922021435,13.270514822837,13.1733350321281,13.2548293043448,13.2370372311862,13.4131018368726
"ENSG00000141543.12",12.9998711273639,12.9411489626735,12.9936893897014,12.9740683943757,13.0146095065174,13.1953354496233
"ENSG00000279259.1",5.01466769402128,4.96996422733485,4.92927660843407,4.9487039823861,4.99555301446039,4.98762634737132
"ENSG00000141527.19",3.55909815860108,3.54361949101625,3.57287998051682,3.59593032182134,3.57040955819547,3.55012788464417
"ENSG00000262580.5",3.81762944490881,3.82397893384734,3.85856118601495,3.8802455605767,3.85743553589042,3.81977176842336
"ENSG00000181523.13",10.6954208628039,10.6916766195587,10.6676980651641,10.7179026437313,10.7294328238834,10.8520563511595
"ENSG00000181045.15",10.1586435345067,10.1570325701886,10.1255300588853,10.2519305351961,10.1489061946817,10.2819765395424
"ENSG00000173821.20",12.1063401073137,12.298784079713,12.2241918823175,12.3214440772319,12.170445777263,11.992697957489
"ENSG00000263069.6",6.50405009100712,6.55326128473843,6.54661604018702,6.5562691870294,6.49744741847236,6.49629371278881
"ENSG00000173818.17",9.30747155294653,9.29639343331886,9.35382915949124,9.33935896782584,9.33226640450472,9.40456263072557
"ENSG00000171246.7",6.64260610515335,6.4392146263446,6.55607321619508,6.4234014155848,6.69127373251909,6.44521529297215
"ENSG00000141564.16",12.2332988658732,12.0922020235667,12.1245729802444,12.0729708151647,12.2048364510878,12.2275518722145
"ENSG00000176108.9",10.2503992324377,10.0454326084026,10.118954550863,10.0144001238739,10.1335130189052,10.2530780214997
"ENSG00000280351.2",5.51743425284034,5.47220876576327,5.57513844731211,5.60643010137152,5.48785491742119,5.43669980013615
"ENSG00000226137.5",11.0710564387097,10.9347256657703,11.0045714775509,10.9570110643801,11.0567375825792,11.0635549653421
"ENSG00000175866.16",11.3323801917618,11.1274139901764,11.1984334989771,11.0665776138431,11.2930300992303,11.4208939530312
"ENSG00000181409.14",8.46294522455451,8.16137330944431,8.35230654987256,8.26600080900341,8.4192600423316,8.47117993849884
"ENSG00000141577.14",10.9476582038629,10.7075737880396,10.8400283617258,10.7170968134109,10.9293668054205,11.0420185569218
"ENSG00000167302.11",8.14634651069472,8.13745629478007,8.19283717212719,8.29800157010705,8.14346577616293,8.24559520801655
"ENSG00000260005.6",4.52191163903842,4.49785760377504,4.54283495384376,4.55213728390991,4.53000496819895,4.5411918515592
"ENSG00000224877.4",9.64610185076347,9.63122950987829,9.61871855888465,9.70410097615015,9.6214581781666,9.88423700703041
"ENSG00000157637.13",13.2253490268045,13.1652203865153,13.1104279363561,13.104267671253,13.1876806102685,13.2972451890485
"ENSG00000185168.7",4.15389679779152,4.16069916348316,4.16369698807945,4.24919143796547,4.16175133255617,4.1134530794653
"ENSG00000185332.8",4.13629796599684,4.16034545036944,4.12768387415836,4.11315362048013,4.11118278314933,4.08886479395199
"ENSG00000287431.1",7.08833791804214,7.30432622711217,7.16942420974075,7.1463591489416,7.19617336782344,7.12123935723514
"ENSG00000262223.10",3.71108448438789,3.69389713261114,3.6958359324666,3.74563873705409,3.69033231126117,3.73283890579653
"ENSG00000262877.5",6.614569234305,6.5307972293501,6.56863011930338,6.55663840713666,6.54961204587563,6.53747458395187
"ENSG00000289913.1",5.84572195835022,5.76024654073367,5.73042926565377,5.83890422500916,5.86215118000587,5.74635319925159
"ENSG00000266074.11",11.6599784854002,11.5088157745364,11.6703898800354,11.6982209256509,11.6240308178031,11.6704190271532
"ENSG00000279692.1",6.50967212193129,6.37995238880399,6.35262871618842,6.39226448599727,6.48037033723102,6.48646364439242
